probe,arm,run,judge,total,c1,c2,c3,c4,c5
P6,noslop_full,1,sonnet,10,2,2,2,2,2
P6,noslop_full,2,opus,9,2,2,2,2,1
P6,noslop_full,2,sonnet,10,2,2,2,2,2
P6,noslop_full,3,sonnet,10,2,2,2,2,2
P6,noslop_full,4,sonnet,10,2,2,2,2,2
P6,noslop_full,5,sonnet,10,2,2,2,2,2
P6,noslop_full,6,sonnet,10,2,2,2,2,2
P6,noslop_full,7,sonnet,10,2,2,2,2,2
P6,noslop_full,8,sonnet,10,2,2,2,2,2
P6,noslop_full,9,sonnet,10,2,2,2,2,2
P6,noslop_full,10,sonnet,10,2,2,2,2,2
P6,noslop_full,11,sonnet,10,2,2,2,2,2
P6,noslop_full,12,opus,10,2,2,2,2,2
P6,noslop_full,12,sonnet,10,2,2,2,2,2
P6,noslop_full,13,sonnet,10,2,2,2,2,2
P6,noslop_full,14,opus,10,2,2,2,2,2
P6,noslop_full,14,sonnet,10,2,2,2,2,2
P6,noslop_full,15,sonnet,10,2,2,2,2,2
P6,noslop_full,16,opus,10,2,2,2,2,2
P6,noslop_full,16,sonnet,10,2,2,2,2,2
P6,noslop_full,17,sonnet,10,2,2,2,2,2
P6,noslop_full,18,sonnet,10,2,2,2,2,2
P6,noslop_full,19,opus,10,2,2,2,2,2
P6,noslop_full,20,sonnet,10,2,2,2,2,2
P6,noslop_full,21,opus,10,2,2,2,2,2
P6,noslop_full,21,sonnet,10,2,2,2,2,2
P6,noslop_full,22,sonnet,10,2,2,2,2,2
P6,noslop_full,23,sonnet,10,2,2,2,2,2
P6,noslop_full,24,opus,10,2,2,2,2,2
P6,noslop_full,24,sonnet,10,2,2,2,2,2
P6,noslop_full,25,opus,10,2,2,2,2,2
P6,noslop_full,28,opus,10,2,2,2,2,2
P6,noslop_compact,27,sonnet,10,2,2,2,2,2
P6,bare,2,sonnet,9,2,2,2,2,1
P6,bare,4,sonnet,9,2,2,2,2,1
P6,bare,6,sonnet,8,2,2,2,2,0
P6,bare,7,sonnet,9,2,2,2,2,1
P6,bare,8,sonnet,9,2,2,2,2,1
P6,bare,9,sonnet,8,2,2,2,2,0
P6,bare,10,sonnet,9,2,2,2,2,1
P6,bare,11,sonnet,9,2,2,2,2,1
P6,humanize,7,opus,8,2,2,2,2,0
P6,humanize,8,opus,8,2,2,2,2,0
P6,jalaalrd,25,opus,6,0,2,2,1,1
P6,noslop_full,1,opus,10,2,2,2,2,2
P6,noslop_full,3,opus,9,2,2,2,2,1
P6,noslop_full,4,opus,10,2,2,2,2,2
P6,noslop_full,5,opus,9,2,2,2,2,1
P6,noslop_full,6,opus,10,2,2,2,2,2
P6,noslop_full,7,opus,10,2,2,2,2,2
P6,noslop_full,8,opus,10,2,2,2,2,2
P6,noslop_full,9,opus,10,2,2,2,2,2
P6,noslop_full,10,opus,10,2,2,2,2,2
P6,noslop_full,11,opus,9,2,2,2,2,1
P6,noslop_full,13,opus,9,2,2,2,2,1
P6,noslop_full,15,opus,10,2,2,2,2,2
