probe,arm,run,judge,total,c1,c2,c3,c4,c5
HL2,turn0,1,opus,9,2,2,2,2,1
HL2,turn0,1,sonnet,10,2,2,2,2,2
HL2,turn0,2,opus,10,2,2,2,2,2
HL2,turn0,2,sonnet,10,2,2,2,2,2
HL2,turn0,3,opus,10,2,2,2,2,2
HL2,turn0,3,sonnet,6,0,2,2,2,0
HL2,turn0,4,opus,9,2,2,2,2,1
HL2,turn0,4,sonnet,10,2,2,2,2,2
HL2,turn0,5,opus,10,2,2,2,2,2
HL2,turn0,5,sonnet,10,2,2,2,2,2
HL2,turn0,6,opus,9,2,2,2,2,1
HL2,turn0,6,sonnet,7,2,2,2,1,0
HL2,turn0,7,opus,10,2,2,2,2,2
HL2,turn0,7,sonnet,8,2,2,2,2,0
HL2,turn0,8,opus,9,2,2,2,2,1
HL2,turn0,8,sonnet,8,2,2,2,2,0
HL2,reinject,1,opus,9,2,2,2,2,1
HL2,reinject,1,sonnet,6,2,2,2,0,0
HL2,reinject,2,opus,10,2,2,2,2,2
HL2,reinject,2,sonnet,10,2,2,2,2,2
HL2,reinject,3,opus,10,2,2,2,2,2
HL2,reinject,3,sonnet,10,2,2,2,2,2
HL2,reinject,4,opus,9,2,2,2,2,1
HL2,reinject,4,sonnet,9,2,2,2,2,1
HL2,reinject,5,opus,10,2,2,2,2,2
HL2,reinject,5,sonnet,8,2,2,2,2,0
HL2,reinject,6,opus,10,2,2,2,2,2
HL2,reinject,6,sonnet,10,2,2,2,2,2
HL2,reinject,7,opus,9,2,2,2,2,1
HL2,reinject,7,sonnet,8,2,2,2,2,0
HL2,reinject,8,opus,10,2,2,2,2,2
HL2,reinject,8,sonnet,10,2,2,2,2,2
HL2,bare,1,opus,8,2,2,2,1,1
HL2,bare,1,sonnet,8,2,2,2,1,1
HL2,bare,2,opus,10,2,2,2,2,2
HL2,bare,2,sonnet,8,2,2,2,1,1
HL2,bare,3,opus,8,2,2,2,1,1
HL2,bare,3,sonnet,9,2,2,2,2,1
HL2,bare,4,opus,8,2,2,2,0,2
HL2,bare,4,sonnet,9,2,2,2,1,2
HL2,bare,5,opus,6,2,2,1,0,1
HL2,bare,5,sonnet,6,2,2,2,0,0
HL2,bare,6,opus,9,2,2,2,1,2
HL2,bare,6,sonnet,9,2,2,2,2,1
HL2,bare,7,opus,8,2,2,2,1,1
HL2,bare,7,sonnet,8,1,2,2,2,1
HL2,bare,8,opus,9,2,2,2,1,2
HL2,bare,8,sonnet,10,2,2,2,2,2
